coreid,xmpRights:WebStatement,xmp:MetadataDate,exif:PixelXDimension,ac:mediumQualityAccessURI,dc:type,ac:tag,idigbio:uuid,dcterms:description,ac:caption,ac:bestQualityAccessURI,ac:goodQualityAccessURI,ac:provider,idigbio:recordIds,dwc:occurrenceID,ac:metadataLanguageLiteral,idigbio:etag,photoshop:Credit,ac:subjectPart,ac:metadataLanguage,dcterms:creator,dcterms:publisher,ac:goodQualityFormat,ac:providerManagedID,ac:bestQualityFurtherInformationURL,ac:subtype,dc:creator,ac:bestQualityFormat,idigbio:recordId,dcterms:format,ac:hashFunction,dc:format,dcterms:created,dcterms:available,dcterms:source,idigbio:associatedRecordsetReference,ac:metadataCreator,ac:associatedSpecimenReference,dc:rights,idigbio:version,ac:thumbnailAccessURI,dcterms:license,xmpRights:UsageTerms,ac:comments,idigbio:associatedRecordReference,ac:mediumQualityFormat,idigbio:createdBy,dcterms:references,idigbio:dateModified,Iptc4xmpExt:CreditLine,exif:PixelYDimension,ac:metadataProvider,ac:furtherInformationURL,http://ns.adobe.com/exif/1.0/PixelYDimension,dwc:nameAccordingTo,dcterms:type,http://ns.adobe.com/exif/1.0/PixelXDimension,ac:hashValue,dcterms:identifier,ac:goodQualityExtent,ac:subjectOrientation,xmpRights:Owner,ac:licenseLogoURL,ac:attributionLogoURL,ac:bestQualityExtent,dcterms:rightsHolder,ac:captureDevice,ac:variantLiteral,dcterms:rights,dcterms:title,ac:resourceCreationTechnique,ac:accessURI,dcterms:modified,dwc:scientificName,dcterms:provider,ac:thumbnailFormat
8b3cc9c3-d657-438d-aedf-eab6184a235c,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-09-09 02:30:13,,,,,112e749a-6d04-43e7-b776-a333ac9297fa,,,,,,,,,2d31a88dbf598f2c32f4863023a6fd927f2352ba,,,en,,,,urn:uuid:da3b39fc-4d94-4878-ac28-5c09754bddca,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1525041,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T21:39:34.989Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00127/LSU00127279_lg.jpg,,,,
cf0520ff-6c8c-4320-8d56-da4bb475acef,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-09-09 02:26:11,,,,,9800de27-08f8-4e3a-b4a5-f40ba5d6102d,,,,,,,,,ef9173d0ca90d6c2e7e2f8153136ac8df6dfaf14,,,en,,,,urn:uuid:a0550aef-9bc8-4f15-b879-1cbd02015dab,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1525864,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T20:51:12.737Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00128/LSU00128117_lg.jpg,,,,
fac2fcbf-a263-4c49-90a8-69ece2aa8b8e,http://creativecommons.org/licenses/by-nc-sa/3.0/,2012-11-03 02:08:17,,,,,7abcab35-26ee-47a0-b7d4-a676a41af954,,,,,,,,,4a508bc2ce93625fda76bd392f19e7126a8026df,,,en,,,,urn:uuid:7abcab35-26ee-47a0-b7d4-a676a41af954,,Photograph,,,,image/jpeg,,,,,,,,http://bryophyteportal.org/portal/collections/individual/index.php?occid=1793404,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-06-03T18:21:48.561Z,,,,,,,StillImage,,,,,,University of Illinois Herbarium (ILL),,,,,,,,,,http://storage.idigbio.org/ill/bryophytes/ILL00012/ILL00012741_1_lg.jpg,,,,
844c7635-0c75-406c-af00-bc5141cd7a93,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-05-02 03:14:48,,,,,87d034bf-a3f4-4475-8d8a-2a74d5034ca3,,,,,,,,,87217c5dd6f6490d45831c34b9519edd654df63c,,,en,,,,urn:uuid:5ea31f08-7de7-4dc0-8cec-ee4bd588a8a8,,Photograph,,,,image/jpeg,,,,,,,,http://bryophyteportal.org/portal/collections/individual/index.php?occid=2159697,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-06-05T04:27:04.893Z,,,,,,,StillImage,,,,,,University of Florida Herbarium (FLAS),,,,,,,,,,http://storage.idigbio.org/flas/bryophytes/FLAS B1/FLAS B1455_lg.jpg,,,,
b49158f6-5c4e-423f-9724-d8694c4a3f4e,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-04-12 02:42:26,,,,,9ea85642-bcce-446c-a42c-1ceada2e2ca8,,,,,,,,,d1ddd85d9c62a25d152aea27f00c0182409ffb4a,,,en,,,,urn:uuid:505d89ef-ef88-4dfd-b802-4e051d70ccf2,,Photograph,,,,image/jpeg,,,,,,,,http://bryophyteportal.org/portal/collections/individual/index.php?occid=2132953,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-06-05T04:47:54.716Z,,,,,,,StillImage,,,,,,University of Florida Herbarium (FLAS),,,,,,,,,,http://storage.idigbio.org/flas/bryophytes/FLAS B41/FLAS B41444_lg.jpg,,,,
6195ce9d-8703-4f9c-b5f2-e439e562c94b,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-08-10 02:15:32,,,,,1520264b-20e8-414a-b02b-5a466d769401,,,,,,,,,830e767e9b92af8186799f0970b153f07f7f9f07,,,en,,,,urn:uuid:3b85fbb5-81f0-4b32-a5ff-0d463f5d4a99,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1460485,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T21:03:44.180Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00145/LSU00145161_lg.jpg,,,,
fac2fcbf-a263-4c49-90a8-69ece2aa8b8e,http://creativecommons.org/licenses/by-nc-sa/3.0/,2012-11-03 02:08:17,,,,,3777cabb-df73-4aaf-bb5e-67dcf6ca7efb,,,,,,,,,551409cc49eda89be83e668355ab4691d7ec28a0,,,en,,,,urn:uuid:3777cabb-df73-4aaf-bb5e-67dcf6ca7efb,,Photograph,,,,image/jpeg,,,,,,,,http://bryophyteportal.org/portal/collections/individual/index.php?occid=1793404,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-06-03T18:23:35.675Z,,,,,,,StillImage,,,,,,University of Illinois Herbarium (ILL),,,,,,,,,,http://storage.idigbio.org/ill/bryophytes/ILL00012/ILL00012741_2_lg.jpg,,,,
8f95e120-679e-430c-a259-b316420d1805,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-08-17 02:26:06,,,,,42d230da-e39a-443d-8b9b-aa4725b484e7,,,,,,,,,6d440be46e94db1d48b30d01dd3ea2c866086b34,,,en,,,,urn:uuid:a5ce523b-15ea-4795-b973-cc8de8c6d6bd,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1475645,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T20:44:31.568Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00149/LSU00149064_lg.jpg,,,,
060d5838-1fcd-478e-b318-596d351f8d2a,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-05-31 02:56:26,,,,,6d600ef8-b088-4f72-a1cc-6c9fe1be5894,,,,,,,,,3df16b7092c29d7624e772c3d528d1c6fe26e6b5,,,en,,,,urn:uuid:2e3475ee-7fba-4c35-9411-0eb3894fd07d,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1414798,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T21:12:56.194Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00141/LSU00141625_lg.jpg,,,,
496e56b7-2a17-43a5-8ab4-ddc68864047e,http://creativecommons.org/licenses/by-nc-sa/3.0/,2013-08-10 02:30:59,,,,,b2d75804-5206-49bf-bc17-5b3049533a10,,,,,,,,,ab2e27e5e480b655b37be564314ee7be4ac00bea,,,en,,,,urn:uuid:e6f774a0-f777-480b-9efc-b1e0c670c339,,Photograph,,,,image/jpeg,,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1464927,,,,,CC BY-NC-SA (Attribution-NonCommercial-ShareAlike),,,,872733a2-67a3-4c54-aa76-862735a5f334,,2014-05-29T20:44:19.728Z,,,,,,,StillImage,,,,,,Louisiana State University (LSU),,,,,,,,,,http://storage.idigbio.org/lsu/lichens/LSU00146/LSU00146092_lg.jpg,,,,
