id,inhs:dead,inhs:total_Males,dwc:county,dwc:locality,idigbio:tribe,dwc:infraspecificEpithet,dwc:rightsHolder,dwc:lifeStage,idigbio:associatedFamily,inhs:juv_females,inhs:location_Basin,dwc:earliestAgeOrLowestStage,inhs:superfamily,dwc:ownerInstitutionCode,dwc:taxonRank,dwc:bed,dwc:country,dwc:verbatimDepth,inhs:instars_Female,dwc:identificationID,dcterms:source,dwc:maximumElevationInMeters,inhs:instars_Male,dwc:waterBody,dwc:family,idigbio:associateCondition,idigbio:associateAuthor,dwc:identificationReferences,symbiota:verbatimScientificName,dwc:rights,dwc:island,dwc:geodeticDatum,dcterms:bibliographicCitation,dwc:nomenclaturalCode,dcterms:type,inhs:vouchered,idigbio:associateCommonName,dwc:earliestEpochOrLowestSeries,fcc:datePicked,dwc:namePublishedIn,dwc:verbatimCoordinateSystem,dwc:coordinateUncertaintyInMeters,dwc:day,dwc:lithostratigraphicTerms,dwc:identificationRemarks,dwc:verbatimTaxonRank,dwc:individualID,dwc:latestPeriodOrHighestSystem,idigbio:determinationHistory,dwc:recordedBy,dwc:order,dcterms:references,dwc:islandGroup,dcterms:accessRights,dwc:group,dwc:dateIdentified,dwc:informationWithheld,dwc:scientificNameID,dwc:verbatimElevation,dcterms:rightsHolder,dwc:establishmentMeans,dwc:taxonID,dwc:maximumDepthInMeters,inhs:live,dwc:typeStatus,dwc:verbatimLatitude,dwc:occurrenceStatus,fcc:subfamily,dwc:locationID,dwc:basisOfRecord,dwc:taxonRemarks,dwc:latestEpochOrHighestSeries,dwc:dynamicProperties,inhs:relic,dwc:municipality,dwc:previousIdentifications,dwc:latestAgeOrHighestStage,dwc:lowestBiostratigraphicZone,dwc:vernacularName,dwc:fieldNotes,dwc:institutionCode,dwc:samplingEffort,dwc:class,inhs:formII_males,dwc:member,dwc:verbatimLongitude,dwc:minimumDepthInMeters,dwc:verbatimLocality,inhs:juv_males,idigbio:associateNotes,dwc:phylum,dcterms:rights,symbiotaverbatimScientificName,dwc:relatedResourceID,dwc:minimumElevationInMeters,dwc:associatedTaxa,inhs:locationTrs,dwc:samplingProtocol,dwc:originalNameUsage,dwc:startDayOfYear,dwc:verbatimCoordinates,idigbio:substrate,idigbio:etag,idigbio:uuid,dwc:georeferencedDate,inhs:formII_females,dwc:habitat,dwc:scientificNameAuthorship,dwc:occurrenceID,dwc:associatedMedia,dwc:dataGeneralizations,inhs:location_RiverMile,dwc:namePublishedInID,idigbio:createdBy,inhs:location_Stream,idigbio:associateDeterminedBy,dwc:earliestPeriodOrLowestSystem,dwc:subgenus,dwc:decimalLatitude,idigbio:hostFamily,dwc:georeferenceRemarks,dwc:occurrenceRemarks,row number,dwc:preparations,dwc:identificationVerificationStatus,idigbio:subfamily,idigbio:preparationCount,fcc:pickedBy,dwc:eventRemarks,dwc:VerbatimEventDate,dwc:associatedReferences,idigbio:endangeredStatus,dwc:locationAccordingTo,dwc:georeferenceSources,dwc:associatedSequences,dwc:formation,dwc:higherClassification,dwc:catalogNumber,dwc:verbatimSRS,dwc:higherGeography,dwc:individualCount,dwc:decimalLongitude,dwc:datasetName,dwc:month,dwc:georeferencedBy,dwc:eventTime,dwc:identificationQualifier,idigbio:associateRelationship,dwc:behavior,dwc:specificEpithet,dwc:countryCode,idigbio:associateIdentifier,dwc:kingdom,idigbio:recordID,dwc:fieldNumber,dwc:coordinatePrecision,idigbio:recordIds,inhs:juv_undetermined,dcterms:language,dwc:stateProvince,dwc:eventDate,inhs:total_females,dwc:collectionID,idigbio:recordId,dwc:collectionCode,dwc:nameAccordingTo,idigbio:barcodeValue,dwc:georeferenceVerificationStatus,dwc:associatedOccurrences,inhs:formI_males,dwc:recordNumber,dwc:genus,dwc:continent,dwc:sex,dwc:identifiedBy,idigbio:version,http://symbiota.org/terms/verbatimScientificName,dwc:disposition,dwc:preparation,dwc:latestEraOrHighestErathem,idigbio:associatedRelationship,idigbio:dateModified,dwc:accessRights,dwc:institutionID,dwc:locationRemarks,dwc:reproductiveCondition,dwc:eventID,idigbio:subgenus,dwc:endDayOfYear,dwc:scientificName,dwc:nomenclaturalStatus,dwc:otherCatalogNumbers,dwc:verbatimEventDate,dcterms:reference,dwc:earliestEraOrLowestErathem,idigbio:preservative,dwc:georeferenceProtocol,dcterms:modified,fcc:superfamily,dwc:footprintWKT,dwc:datasetID,dwc:year
28043975-2ab5-441f-9027-8820094d381f,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Ectolechiaceae,,,,Calopadia puiggarii,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1525741,,,,2010,,,,,,,,,,,,,,PreservedSpecimen,,,,,Edward Ball Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,8ab370349a0311a726c1b295481d6e1db394b412,28043975-2ab5-441f-9027-8820094d381f,,,Mature hardwood forest.; Foliicolous on palm leaf.,(Mull. Arg.) Vezda,1525741,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00127993,,,,,,1,,,,,,puiggarii,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:49991f29-93c0-4e37-ac18-c5f88bac61dc,,,,,,,30428C,Calopadia,,,Shirley C. Tucker,,,,,,,2014-05-29T21:37:50.334Z,,,,,,,,Calopadia puiggarii,,198141,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
16b91af1-5cc9-437e-8166-ad3d2fbb5684,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachilcola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Pyrenulaceae,,,,Pyrenula mamillana,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1512506,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,a30741a6aff2b046c0fcf7b7ae19005522cad699,16b91af1-5cc9-437e-8166-ad3d2fbb5684,,,On bark. Mature hardwood forest.; bark,(Ach.) Trevisan,1512506,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00120870,,,,,,1,,,,,,mamillana,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:6c633453-e8f3-4250-8125-bc5c0fffdfe9,,,,,,,30415,Pyrenula,,,,,,,,,,2014-05-29T20:58:57.316Z,,,,,,,,Pyrenula mamillana,,184623,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
4281b281-c7a3-4bfd-ab88-e4452855021f,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalochicola National Forest",,,,,,,,,,,,,USA,,,,,,,,Physciaceae,,,,Buellia punctata,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,K+ yellow to reddish,,,,,,,http://lichenportal.org/portal/collections/individual/index.php?occid=1528759,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,3af19719fb11b9d8bb615fcb1db53087a6f8f4d2,4281b281-c7a3-4bfd-ab88-e4452855021f,,,Mature hardwood forest; On twig,(Hoffm.) Mass.,1528759,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00132051,,,,,,1,,,,,,punctata,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:fb9de33a-5010-43cf-a7b0-b8d3e2c055e4,,,,,,,30375A,Buellia,,,,,,,,,,2014-05-29T20:43:51.359Z,,,,,,,,Buellia punctata,,198214,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
23015ebd-1f16-4168-8097-db5e7fc4226e,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Gomphillaceae,,,,Aulaxina microphana,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1525084,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Edward Ball Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,883079146e77f59c7ff9610d26856d898ad252e9,23015ebd-1f16-4168-8097-db5e7fc4226e,,,Mature hardwood forest.; Foliicolous on palm.,(Vainio) R. Sant.,1525084,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00127350,,,,,,1,,,,,,microphana,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:637d4bd3-80ca-471b-99db-62e969df2646,,,,,,,30428B,Aulaxina,,,,,,,,,,2014-05-29T21:21:23.521Z,,,,,,,,Aulaxina microphana,,198117,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
eaa4b270-0f56-4fe9-bc8f-710e98fe41c5,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Pyrenulaceae,,,,Pyrenula thelomorpha,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1523862,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,44a2def4cce284669796b52d85db57743cd9a146,eaa4b270-0f56-4fe9-bc8f-710e98fe41c5,,,On Ilex. Mature hardwood forest.; Ilex,Tuck.,1523862,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00119683,,,,,,1,,,,,,thelomorpha,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:d1e7a0e8-5a51-4cdf-9651-87a23447eb33,,,,,,,20414,Pyrenula,,,,,,,,,,2014-05-29T21:26:51.571Z,,,,,,,,Pyrenula thelomorpha,,184775,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
2c6a9905-00d5-4539-b92e-929f0c2d10ca,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Pertusariaceae,,,,Ochrolechia pseudopallescens,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1525161,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Edward Ball Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,d64844e760e71088b97a22f86def687b335807ea,2c6a9905-00d5-4539-b92e-929f0c2d10ca,,,Mature hardwood forest.; On bark.,Brodo,1525161,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00127401,,,,,,1,,,,,,pseudopallescens,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:8a1a1d9f-1111-4c65-a46a-3ff17eb6841b,,,,,,,30393B,Ochrolechia,,,,,,,,,,2014-05-29T21:12:50.556Z,,,,,,,,Ochrolechia pseudopallescens,,198704,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
6dea5f68-42ff-4c56-9f8e-ea6cad6e7dbd,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Uncertain lichen family,,,,Arthothelium interveniens,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1526147,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Edward Ball Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,2381a959355f4fb8f0ec75d85c8b1fdfa8b188a6,6dea5f68-42ff-4c56-9f8e-ea6cad6e7dbd,,,Mature hardwood forest.; On hardwood.,(Nyl.) Zahlbr.,1526147,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00128446,,,,,,1,,,,,,interveniens,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:18ec1b01-f256-4e66-b7c5-154cb3408cd1,,,,,,,30373,Arthothelium,,,,,,,,,,2014-05-29T21:29:23.894Z,,,,,,,,Arthothelium interveniens,,198093,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
2bb2e9e1-e988-4e09-b0df-fd971d2cb261,,,Wakulla,"Wakulla Springs State Park, Wakulla Springs, 16 miles south of Tallahassee",,,,,,,,,,,,,U.S.A.,,,,,,,,Strigulaceae,,,,STRIGULA complanata,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,29,,,,,,,Roger Rosentreter,,http://lichenportal.org/portal/collections/individual/index.php?occid=1350911,,,,,,,12.2m,,,,,,,,,,,PreservedSpecimen,,,,,,,,,,,BRY,,,,,,,,,,,,,,2,,,,,363,"30° 14' N, 84° 18' W",,b258aefa4d016f550af124713b913d376cf4e2b9,2bb2e9e1-e988-4e09-b0df-fd971d2cb261,,,Mixed Taxodium Swamp and Quercus-Pine forest.; Leaves. Magnolia sp.,(Fee) Mont.,BRY-L-0017448,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,30.233333,,,,,,,,,,,,,,,,,,,BRY-L-0017448,,,,-84.3,,12,,,,,,complanata,,,,,,,,,,Florida,1990-12-29,,,urn:uuid:d6537bb5-6c3d-480a-936a-566be5cad04c,,,,,,,6805,Strigula,,,,,,,,,,2014-06-03T12:19:38.226Z,,,,,,,,Strigula complanata,,18848,29 Dec 1990,,,,,2013-10-02 16:22:01,,,,1990
00b8b7f7-0658-4156-a34c-83aac933bd02,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Arthoniaceae,,,,Arthonia montagnei,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,"Sterile pale green crust, UV-.",,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1528350,,,,,,,,,,,,,,,,,,PreservedSpecimen,,,,,Edward Ball Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,527ce92b5bb4d26ed6b4c90b454a717296847ce6,00b8b7f7-0658-4156-a34c-83aac933bd02,,,Mature hardwood forest.; On Liquidambar.,(Tuck.) R.C. Harris,1528350,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00131423,,,,,,1,,,,,,montagnei,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:37307e8c-78d2-4f9f-b464-0bca79b285ce,,,,,,,30426,Arthonia,,,,,,,,,,2014-05-29T21:03:50.227Z,,,,,,,,Arthonia montagnei,,185502,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
aeb3aaba-8b5e-45a7-bf18-e130eb000540,,,Wakulla,"Wakulla Springs State Park, near lodge, Apalachicola National Forest.",,,,,,,,,,,,,USA,,,,,,,,Parmeliaceae,,,,Bulbothrix goebelii,http://creativecommons.org/licenses/by-nc-sa/3.0/,,,,,,,,,,,,,1,,ABLS Field trip.,,,,,Shirley C. Tucker,,http://lichenportal.org/portal/collections/individual/index.php?occid=1526650,,,,2004-4,,,,,,,,,,,,,,PreservedSpecimen,,,,,Wakulla Springs State Park,,,,,,LSU,,,,,,,,,,,,,,,,,,,1,,,9df3f17eaaebd9efb8fa19f598decdd3558504b0,aeb3aaba-8b5e-45a7-bf18-e130eb000540,,,Mature hardwood forest.; On hardwood twigs.,(Zenker) Hale,1526650,,,,,872733a2-67a3-4c54-aa76-862735a5f334,,,,,,,,,,,,,,,,,,,,,,,,LSU00129731,,,,,,1,,,,,,goebelii,,,,,,,,,,Florida,1991-01-01,,,urn:uuid:d546660d-7e5e-4f0e-9564-44ef9456e6d3,,,,,,,30395B,Bulbothrix,,,Shirley C. Tucker,,,,,,,2014-05-29T20:38:45.851Z,,,,,,,,Bulbothrix goebelii,,112197,1/1/1991,,,,,2014-03-26 12:16:25,,,,1991
